"rooms","offers_count","offers_share","price_median","area_median"
0,17,0.13600000000000000000,27000.0,25.0
1,47,0.37600000000000000000,25000.0,32.0
2,47,0.37600000000000000000,27000.0,46.0
3,12,0.09600000000000000000,29500.0,63.0
4,2,0.01600000000000000000,34500.0,72.3
