offer_id,url,rooms,price_month,deposit,latitude,longitude,area_total,floor,floors_total,ceiling_height,building_year,area_living,area_kitchen
1809622054938253571,https://realty.yandex.ru/offer/1809622054938253571/,1.0,83500,0.0,55.681797,37.662712,49.0,11.0,14.0,3.0,2002.0,,
1816170441661123196,https://realty.yandex.ru/offer/1816170441661123196/,3.0,134500,0.0,55.752308,37.714428,70.0,6.0,17.0,2.74,2000.0,,
1816744614852624860,https://realty.yandex.ru/offer/1816744614852624860/,0.0,73000,0.0,55.79843,37.389374,38.0,24.0,25.0,2.8,2012.0,,
1821863686800686637,https://realty.yandex.ru/offer/1821863686800686637/,1.0,54000,0.0,55.710243,37.951225,33.0,10.0,22.0,2.7,2024.0,,
1845295737663082623,https://realty.yandex.ru/offer/1845295737663082623/,2.0,93500,0.0,55.679554,37.514175,38.0,6.0,8.0,2.64,1960.0,,
1932274439574606487,https://realty.yandex.ru/offer/1932274439574606487/,1.0,68500,0.0,55.821354,37.50866,35.0,8.0,14.0,2.64,1975.0,,
1936798839067997912,https://realty.yandex.ru/offer/1936798839067997912/,0.0,100000,0.0,55.73362,37.740494,20.0,11.0,33.0,,,,
1946981450954572146,https://realty.yandex.ru/offer/1946981450954572146/,1.0,50500,0.0,55.534546,37.50301,40.0,17.0,22.0,2.64,2007.0,,
1959171274890476609,https://realty.yandex.ru/offer/1959171274890476609/,2.0,98500,0.0,55.851223,37.62055,38.0,18.0,23.0,,,,
1973514576367417679,https://realty.yandex.ru/offer/1973514576367417679/,0.0,65000,0.0,55.60568,37.414436,20.0,9.0,22.0,,2024.0,,
197959651559225145,https://realty.yandex.ru/offer/197959651559225145/,0.0,62000,0.0,55.5608,37.498394,23.0,7.0,14.0,3.1,2025.0,,
1987719477418288579,https://realty.yandex.ru/offer/1987719477418288579/,3.0,94000,0.0,55.93274,37.388836,76.0,9.0,14.0,,2023.0,,
1989692846335152716,https://realty.yandex.ru/offer/1989692846335152716/,2.0,75000,71500.0,55.700268,37.78464,45.0,3.0,12.0,2.64,1965.0,,
1995080265279924079,https://realty.yandex.ru/offer/1995080265279924079/,1.0,89000,0.0,55.746258,37.563026,35.7,3.0,9.0,3.0,1977.0,,
199814646052116736,https://realty.yandex.ru/offer/199814646052116736/,2.0,1200000,1200000.0,55.747528,37.538673,154.0,68.0,73.0,5.0,2009.0,120.0,14.0
1998595067557804749,https://realty.yandex.ru/offer/1998595067557804749/,2.0,62000,0.0,55.76351,37.83887,43.0,3.0,9.0,2.64,1972.0,,
2017330876115816813,https://realty.yandex.ru/offer/2017330876115816813/,2.0,67500,0.0,55.638393,37.30795,51.0,16.0,17.0,,2019.0,,
2034215062424757283,https://realty.yandex.ru/offer/2034215062424757283/,1.0,115000,105000.0,55.690224,37.61229,39.9,22.0,24.0,2.7,2023.0,21.0,10.2
2038420406585353150,https://realty.yandex.ru/offer/2038420406585353150/,3.0,55500,0.0,55.60356,37.3729,31.0,24.0,25.0,,2023.0,,
2066866447578562947,https://realty.yandex.ru/offer/2066866447578562947/,0.0,75000,0.0,55.75323,37.706974,26.7,22.0,23.0,,2018.0,,
2072825244672674102,https://realty.yandex.ru/offer/2072825244672674102/,3.0,183000,0.0,55.771954,37.68894,66.0,12.0,17.0,3.0,2025.0,,
2091361197388267334,https://realty.yandex.ru/offer/2091361197388267334/,0.0,51000,0.0,55.751316,37.810684,12.0,1.0,9.0,2.64,1968.0,,
210354355673757973,https://realty.yandex.ru/offer/210354355673757973/,2.0,72000,68500.0,55.59245,37.427555,40.0,3.0,16.0,3.0,2023.0,,
210416000473609683,https://realty.yandex.ru/offer/210416000473609683/,0.0,67500,0.0,55.787827,37.63086,15.0,3.0,3.0,,1905.0,,
2109710052678626857,https://realty.yandex.ru/offer/2109710052678626857/,0.0,73000,0.0,55.85518,37.559513,31.0,16.0,24.0,2.8,2022.0,,
2122618810111093062,https://realty.yandex.ru/offer/2122618810111093062/,1.0,63000,60000.0,55.546394,37.58675,40.0,4.0,23.0,,2016.0,,
2134932908544950757,https://realty.yandex.ru/offer/2134932908544950757/,2.0,76500,0.0,55.520226,37.598114,60.0,9.0,17.0,,2023.0,,
2139276830329615763,https://realty.yandex.ru/offer/2139276830329615763/,2.0,75000,0.0,55.866287,37.590866,58.2,13.0,17.0,2.64,1989.0,,
2143913759438390149,https://realty.yandex.ru/offer/2143913759438390149/,1.0,70000,0.0,55.674965,37.85223,40.0,14.0,24.0,2.8,2023.0,,
2147246140000071585,https://realty.yandex.ru/offer/2147246140000071585/,2.0,53500,0.0,55.619514,37.26397,40.0,7.0,18.0,,2017.0,,
2157315951101356397,https://realty.yandex.ru/offer/2157315951101356397/,1.0,51000,0.0,55.47537,37.533028,35.0,8.0,13.0,,2024.0,,
2164507684800258154,https://realty.yandex.ru/offer/2164507684800258154/,2.0,48000,0.0,55.725628,37.97999,61.0,13.0,22.0,,2021.0,,
2165055466252181598,https://realty.yandex.ru/offer/2165055466252181598/,1.0,70000,0.0,55.667015,37.73606,32.0,9.0,25.0,,2024.0,,
2173638772222835724,https://realty.yandex.ru/offer/2173638772222835724/,2.0,73000,0.0,55.666763,37.62677,59.0,5.0,8.0,2.8,1959.0,,
2208004769706280544,https://realty.yandex.ru/offer/2208004769706280544/,1.0,61500,0.0,55.800262,37.378223,34.0,4.0,31.0,,2024.0,,
2263603314317252237,https://realty.yandex.ru/offer/2263603314317252237/,2.0,67500,0.0,55.877747,37.64693,45.1,6.0,12.0,2.5,1980.0,,
